Medicamento Base,Dosis Base (mg),Alternativa 1,Dosis Alt 1 (mg),Alternativa 2,Dosis Alt 2 (mg),Alternativa 3,Dosis Alt 3 (mg),Nota
Paracetamol,500,Ibuprofeno,400,Metamizol,500,Naproxeno,250,Primera línea en dolor leve
Paracetamol,1000,Ibuprofeno,600,Metamizol,575,Naproxeno,500,Aumentar intervalo en IR
Ibuprofeno,400,Paracetamol,500,Metamizol,500,Meloxicam,7.5,"Evitar en IR severa, asma"
Ibuprofeno,600,Paracetamol,1000,Metamizol,575,Diclofenaco,50,"Evitar en IR severa, asma"
Metamizol,500,Paracetamol,500,Ibuprofeno,400,Naproxeno,250,"Precaución en HTA, IR"
Metamizol,575,Paracetamol,1000,Ibuprofeno,600,Naproxeno,500,"Precaución en HTA, IR"
Diclofenaco,50,Ibuprofeno,600,Metamizol,575,Meloxicam,7.5,"Riesgo GI alto. Usar IBP concomitante"
Tramadol,50,Paracetamol/Codeína 500/30,,Morfina 5 mg oral,,,,"Dolor moderado. Riesgo dependencia"
Tramadol,100,Morfina 10 mg oral,,Buprenorfina transdérmica 35 µg/h,,,,"Ajuste en IR. Riesgo dependencia"
Morfina,5,Tramadol,50,Hidromorfona,1,,,Ajustar en IR
Morfina,10,Tramadol,100,Hidromorfona,2,,,Ajustar en IR severa 75%
